Protein	FilterMatch	RegEx
H9NM51_9ARCH	nitrite reductase	nitrite reductase
H9NM52_9ARCH	nitrite reductase	nitrite reductase
H9NM53_9ARCH	nitrite reductase	nitrite reductase
H9NM54_9ARCH	nitrite reductase	nitrite reductase
H9NM55_9ARCH	nitrite reductase	nitrite reductase
H9NM56_9ARCH	nitrite reductase	nitrite reductase
H9NM57_9ARCH	nitrite reductase	nitrite reductase
H9NM60_9ARCH	nitrite reductase	nitrite reductase
H9NM63_9ARCH	nitrite reductase	nitrite reductase
H9NM64_9ARCH	nitrite reductase	nitrite reductase
H9NM65_9ARCH	nitrite reductase	nitrite reductase
H9NM66_9ARCH	nitrite reductase	nitrite reductase
H9NM67_9ARCH	nitrite reductase	nitrite reductase
H9NM68_9ARCH	nitrite reductase	nitrite reductase
H9NM69_9ARCH	nitrite reductase	nitrite reductase
H9NM70_9ARCH	nitrite reductase	nitrite reductase
H9NM73_9ARCH	nitrite reductase	nitrite reductase
H9NM75_9ARCH	nitrite reductase	nitrite reductase
H9NM76_9ARCH	nitrite reductase	nitrite reductase
H9NM77_9ARCH	nitrite reductase	nitrite reductase
H9NM78_9ARCH	nitrite reductase	nitrite reductase
H9NM79_9ARCH	nitrite reductase	nitrite reductase
H9NM80_9ARCH	nitrite reductase	nitrite reductase
H9NM81_9ARCH	nitrite reductase	nitrite reductase
H9NM82_9ARCH	nitrite reductase	nitrite reductase
H9NM83_9ARCH	nitrite reductase	nitrite reductase
H9NM84_9ARCH	nitrite reductase	nitrite reductase
H9NM85_9ARCH	nitrite reductase	nitrite reductase
H9NM88_9ARCH	nitrite reductase	nitrite reductase
H9NM89_9ARCH	nitrite reductase	nitrite reductase
H9NM90_9ARCH	nitrite reductase	nitrite reductase
H9NM91_9ARCH	nitrite reductase	nitrite reductase
H9NM92_9ARCH	nitrite reductase	nitrite reductase
H9NM94_9ARCH	nitrite reductase	nitrite reductase
H9NMN8_9ARCH	Nitrite reductase	nitrite reductase
H9NMN9_9ARCH	Nitrite reductase	nitrite reductase
H9NMP1_9ARCH	Nitrite reductase	nitrite reductase
H9NMP5_9ARCH	Nitrite reductase	nitrite reductase
H9NMP6_9ARCH	Nitrite reductase	nitrite reductase
H9NMP8_9ARCH	Nitrite reductase	nitrite reductase
H9NMQ5_9ARCH	Nitrite reductase	nitrite reductase
H9NMQ8_9ARCH	Nitrite reductase	nitrite reductase
H9NMQ9_9ARCH	Nitrite reductase	nitrite reductase
H9NMR2_9ARCH	Nitrite reductase	nitrite reductase
H9NMR3_9ARCH	nitrite reductase	nitrite reductase
H9NMR5_9ARCH	Nitrite reductase	nitrite reductase
H9NMR6_9ARCH	Nitrite reductase	nitrite reductase
H9NMR9_9ARCH	Nitrite reductase	nitrite reductase
H9NMS0_9ARCH	Nitrite reductase	nitrite reductase
H9NMS1_9ARCH	Nitrite reductase	nitrite reductase
H9NMS3_9ARCH	Nitrite reductase	nitrite reductase
H9NMS6_9ARCH	Nitrite reductase	nitrite reductase
H9NMS7_9ARCH	Nitrite reductase	nitrite reductase
H9NMT0_9ARCH	nitrite reductase	nitrite reductase
H9NMT1_9ARCH	Nitrite reductase	nitrite reductase
H9NMT2_9ARCH	Nitrite reductase	nitrite reductase
H9NMT3_9ARCH	Nitrite reductase	nitrite reductase
H9NMT4_9ARCH	nitrite reductase	nitrite reductase
H9NMT5_9ARCH	Nitrite reductase	nitrite reductase
H9NMT6_9ARCH	Nitrite reductase	nitrite reductase
H9NMT8_9ARCH	Nitrite reductase	nitrite reductase
H9NMT9_9ARCH	Nitrite reductase	nitrite reductase
H9NMU0_9ARCH	Nitrite reductase	nitrite reductase
H9NMU1_9ARCH	Nitrite reductase	nitrite reductase
H9NMU2_9ARCH	Nitrite reductase	nitrite reductase
H9NMU5_9ARCH	Nitrite reductase	nitrite reductase
H9NMU6_9ARCH	Nitrite reductase	nitrite reductase
H9NMU7_9ARCH	Nitrite reductase	nitrite reductase
H9NMU8_9ARCH	Nitrite reductase	nitrite reductase
H9NMU9_9ARCH	Nitrite reductase	nitrite reductase
H9NMV0_9ARCH	Nitrite reductase	nitrite reductase
H9NMV1_9ARCH	Nitrite reductase	nitrite reductase
H9NMV2_9ARCH	Nitrite reductase	nitrite reductase
H9NMV3_9ARCH	Nitrite reductase	nitrite reductase
H9NMV4_9ARCH	Nitrite reductase	nitrite reductase
H9NMV5_9ARCH	Nitrite reductase	nitrite reductase
H9NMV6_9ARCH	Nitrite reductase	nitrite reductase
H9NMV7_9ARCH	Nitrite reductase	nitrite reductase
H9NMV8_9ARCH	Nitrite reductase	nitrite reductase
H9NMV9_9ARCH	Nitrite reductase	nitrite reductase
H9NMW0_9ARCH	Nitrite reductase	nitrite reductase
H9NMW1_9ARCH	Nitrite reductase	nitrite reductase
H9NMW2_9ARCH	Nitrite reductase	nitrite reductase
H9NMW3_9ARCH	Nitrite reductase	nitrite reductase
H9NMW4_9ARCH	Nitrite reductase	nitrite reductase
H9NMW6_9ARCH	Nitrite reductase	nitrite reductase
H9NMW7_9ARCH	Nitrite reductase	nitrite reductase
H9NMW8_9ARCH	Nitrite reductase	nitrite reductase
H9NMW9_9ARCH	Nitrite reductase	nitrite reductase
H9NMX0_9ARCH	Nitrite reductase	nitrite reductase
H9NMX1_9ARCH	Nitrite reductase	nitrite reductase
H9NMX3_9ARCH	Nitrite reductase	nitrite reductase
H9NMX5_9ARCH	Nitrite reductase	nitrite reductase
